index,runs,opponent,ground,date,match,Match_No,total,Column1
430,18,SouthAfrica,Southampton,5-Jun-19,ODI,413,19737,2019
431,82,Australia,TheOval,9-Jun-19,ODI,414,19819,2019
432,77,Pakistan,Manchester,16-Jun-19,ODI,415,19896,2019
433,67,Afghanistan,Southampton,22-Jun-19,ODI,416,19963,2019
434,72,WestIndies,Manchester,27-Jun-19,ODI,417,20035,2019
435,66,England,Birmingham,30-Jun-19,ODI,418,20101,2019
436,26,Bangladesh,Birmingham,2-Jul-19,ODI,419,20127,2019
437,34,SriLanka,Leeds,6-Jul-19,ODI,420,20161,2019
438,1,NewZealand,Manchester,9-Jul-19,ODI,421,20162,2019
439,19,WestIndies,Lauderhill,3-Aug-19,T20,422,20181,2019
440,28,WestIndies,Lauderhill,4-Aug-19,T20,423,20209,2019
441,59,WestIndies,Providence,6-Aug-19,T20,424,20268,2019
443,120,WestIndies,PortofSpain,11-Aug-19,ODI,425,20388,2019
444,114,WestIndies,PortofSpain,14-Aug-19,ODI,426,20502,2019
445,9,WestIndies,NorthSound,22-Aug-19,Test,427,20511,2019
446,51,WestIndies,NorthSound,22-Aug-19,Test,428,20562,2019
447,76,WestIndies,Kingston,30-Aug-19,Test,429,20638,2019
448,0,WestIndies,Kingston,30-Aug-19,Test,430,20638,2019
449,72,SouthAfrica,Mohali,18-Sep-19,T20,431,20710,2019
450,9,SouthAfrica,Bengaluru,22-Sep-19,T20,432,20719,2019
451,20,SouthAfrica,Visakhapatnam,2-Oct-19,Test,433,20739,2019
452,31,SouthAfrica,Visakhapatnam,2-Oct-19,Test,434,20770,2019
453,254,SouthAfrica,Pune,10-Oct-19,Test,435,21024,2019
454,12,SouthAfrica,Ranchi,19-Oct-19,Test,436,21036,2019
455,0,Bangladesh,Indore,14-Nov-19,Test,437,21036,2019
456,136,Bangladesh,Kolkata,22-Nov-19,Test,438,21172,2019
457,94,WestIndies,Hyderabad(Deccan),6-Dec-19,T20,439,21266,2019
458,19,WestIndies,Thiruvananthapuram,8-Dec-19,T20,440,21285,2019
459,70,WestIndies,Wankhede,11-Dec-19,T20,441,21355,2019
460,4,WestIndies,Chennai,15-Dec-19,ODI,442,21359,2019
461,0,WestIndies,Visakhapatnam,18-Dec-19,ODI,443,21359,2019
462,85,WestIndies,Cuttack,22-Dec-19,ODI,444,21444,2019
464,30,SriLanka,Indore,7-Jan-20,T20,445,21474,2020
465,26,SriLanka,Pune,10-Jan-20,T20,446,21500,2020
466,16,Australia,Wankhede,14-Jan-20,ODI,447,21516,2020
467,78,Australia,Rajkot,17-Jan-20,ODI,448,21594,2020
468,89,Australia,Bengaluru,19-Jan-20,ODI,449,21683,2020
469,45,NewZealand,Auckland,24-Jan-20,T20,450,21728,2020
470,11,NewZealand,Auckland,26-Jan-20,T20,451,21739,2020
471,38,NewZealand,Hamilton,29-Jan-20,T20,452,21777,2020
472,11,NewZealand,Wellington,31-Jan-20,T20,453,21788,2020
473,51,NewZealand,Hamilton,5-Feb-20,ODI,454,21839,2020
474,15,NewZealand,Auckland,8-Feb-20,ODI,455,21854,2020
475,9,NewZealand,MountMaunganui,11-Feb-20,ODI,456,21863,2020
476,2,NewZealand,Wellington,21-Feb-20,Test,457,21865,2020
477,19,NewZealand,Wellington,21-Feb-20,Test,458,21884,2020
478,3,NewZealand,Christchurch,29-Feb-20,Test,459,21887,2020
479,14,NewZealand,Christchurch,29-Feb-20,Test,460,21901,2020
480,21,Australia,Sydney,27-Nov-20,ODI,461,21922,2020
481,89,Australia,Sydney,29-Nov-20,ODI,462,22011,2020
482,63,Australia,Canberra,2-Dec-20,ODI,463,22074,2020
483,9,Australia,Canberra,4-Dec-20,T20,464,22083,2020
484,40,Australia,Sydney,6-Dec-20,T20,465,22123,2020
485,85,Australia,Sydney,8-Dec-20,T20,466,22208,2020
486,74,Australia,Adelaide,17-Dec-20,Test,467,22282,2020
487,4,Australia,Adelaide,17-Dec-20,Test,468,22286,2020
488,11,England,Chennai,5-Feb-21,Test,469,22297,2021
489,72,England,Chennai,5-Feb-21,Test,470,22369,2021
490,0,England,Chennai,13-Feb-21,Test,471,22369,2021
491,62,England,Chennai,13-Feb-21,Test,472,22431,2021
492,27,England,Ahmedabad,24-Feb-21,Test,473,22458,2021
494,0,England,Ahmedabad,4-Mar-21,Test,474,22458,2021
495,0,England,Ahmedabad,12-Mar-21,T20,475,22458,2021
496,73,England,Ahmedabad,14-Mar-21,T20,476,22531,2021
497,77,England,Ahmedabad,16-Mar-21,T20,477,22608,2021
498,1,England,Ahmedabad,18-Mar-21,T20,478,22609,2021
499,80,England,Ahmedabad,20-Mar-21,T20,479,22689,2021
500,56,England,Pune,23-Mar-21,ODI,480,22745,2021
501,66,England,Pune,26-Mar-21,ODI,481,22811,2021
502,7,England,Pune,28-Mar-21,ODI,482,22818,2021
503,44,NewZealand,Southampton,18-Jun-21,Test,483,22862,2021
504,13,NewZealand,Southampton,18-Jun-21,Test,484,22875,2021
505,0,England,Nottingham,4-Aug-21,Test,485,22875,2021
507,42,England,Lord's,12-Aug-21,Test,486,22917,2021
508,20,England,Lord's,12-Aug-21,Test,487,22937,2021
509,7,England,Leeds,25-Aug-21,Test,488,22944,2021
510,55,England,Leeds,25-Aug-21,Test,489,22999,2021
511,50,England,TheOval,2-Sep-21,Test,490,23049,2021
512,44,England,TheOval,2-Sep-21,Test,491,23093,2021
513,57,Pakistan,Dubai(DSC),24-Oct-21,T20,492,23150,2021
514,9,NewZealand,Dubai(DSC),31-Oct-21,T20,493,23159,2021
516,2,Scotland,Dubai(DSC),5-Nov-21,T20,494,23161,2021
518,0,NewZealand,Wankhede,3-Dec-21,Test,495,23161,2021
519,36,NewZealand,Wankhede,3-Dec-21,Test,496,23197,2021
520,35,SouthAfrica,Centurion,26-Dec-21,Test,497,23232,2021
521,18,SouthAfrica,Centurion,26-Dec-21,Test,498,23250,2021
522,79,SouthAfrica,CapeTown,11-Jan-22,Test,499,23329,2022
523,29,SouthAfrica,CapeTown,11-Jan-22,Test,500,23358,2022
524,51,SouthAfrica,Paarl,19-Jan-22,ODI,501,23409,2022
525,0,SouthAfrica,Paarl,21-Jan-22,ODI,502,23409,2022
526,65,SouthAfrica,CapeTown,23-Jan-22,ODI,503,23474,2022
527,8,WestIndies,Ahmedabad,6-Feb-22,ODI,504,23482,2022
528,18,WestIndies,Ahmedabad,9-Feb-22,ODI,505,23500,2022
529,0,WestIndies,Ahmedabad,11-Feb-22,ODI,506,23500,2022
530,17,WestIndies,Kolkata,16-Feb-22,T20,507,23517,2022
531,52,WestIndies,Kolkata,18-Feb-22,T20,508,23569,2022
532,45,SriLanka,Mohali,4-Mar-22,Test,509,23614,2022
533,23,SriLanka,Bengaluru,12-Mar-22,Test,510,23637,2022
534,13,SriLanka,Bengaluru,12-Mar-22,Test,511,23650,2022
535,11,England,Birmingham,1-Jul-22,Test,512,23661,2022
536,20,England,Birmingham,1-Jul-22,Test,513,23681,2022
537,1,England,Birmingham,9-Jul-22,T20,514,23682,2022
538,11,England,Nottingham,10-Jul-22,T20,515,23693,2022
539,16,England,Lord's,14-Jul-22,ODI,516,23709,2022
